Altium Designer Pick and Place Locations
E:\Google Drive\Workspace\AD19\Projects\Phase Drift Compensation\Project Outputs for PRL_PDC\Pick Place for RF.csv

========================================================================================================================
File Design Information:

Date:       23/03/20
Time:       09:37
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Rotation","Pad-X(mm)","Pad-Y(mm)"
"C7_PD3","55,6250","-6,5250","90","55,6250","-7,3000"
"C7_PD2","-47,5000","-6,5250","90","-47,5000","-7,3000"
"C7_PD1","-5,1250","-6,5250","90","-5,1250","-7,3000"
"C7_PD0","31,9250","6,5250","270","31,9250","7,3000"
"C6_PD3","53,1750","-6,5250","90","53,1750","-7,3000"
"C6_PD2","-49,9500","-6,5250","90","-49,9500","-7,3000"
"C6_PD1","-7,5750","-6,5250","90","-7,5750","-7,3000"
"C6_PD0","34,3750","6,5250","270","34,3750","7,3000"
"C5_PD2","-50,6751","5,2250","90","-50,6751","4,4500"
"C5_PD1","-8,3000","5,2250","90","-8,3000","4,4500"
"C5_PD0","35,1000","-5,2250","270","35,1000","-4,4500"
"C4_PD3","51,6250","-6,5250","90","51,6250","-7,3000"
"C4_PD2","-51,5000","-6,5250","90","-51,5000","-7,3000"
"C4_PD1","-9,1250","-6,5250","90","-9,1250","-7,3000"
"C4_PD0","35,9250","6,5250","270","35,9250","7,3000"
"C3_PD3","49,2500","-1,0000","90","49,2500","-2,6000"
"C3_PD2","-52,6851","1,5500","270","-52,6851","3,1500"
"C3_PD1","-11,3000","-0,9000","90","-11,3000","-2,5000"
"C3_PD0","36,9000","-1,5000","90","36,9000","-3,1000"
"C2_PD3","51,0000","-2,2250","90","51,0000","-3,0000"
"C2_PD2","-52,1850","-2,3000","90","-52,1850","-3,0750"
"C2_PD1","-9,7000","-2,1750","90","-9,7000","-2,9500"
"C2_PD0","36,5000","2,2500","270","36,5000","3,0250"
"C1_PD3","54,4000","-6,5250","90","54,4000","-7,0250"
"C1_PD2","-48,7250","-6,5250","90","-48,7250","-7,0250"
"C1_PD1","-6,3500","-6,5250","90","-6,3500","-7,0250"
"C1_PD0","33,1500","6,5250","270","33,1500","7,0250"
"C6_PD4","-72,2250","1,2250","360","-73,0000","1,2250"
"U1_PD4","-65,7000","0,0000","270","-68,4750","1,9500"
"R4_PD4","-60,4750","-0,6500","180","-59,7000","-0,6500"
"R3_PD4","-74,2250","-2,0000","90","-74,2250","-2,7750"
"R2_PD4","-60,4750","0,6500","180","-59,7000","0,6500"
"R1_PD4","-74,2250","2,0000","90","-74,2250","1,2250"
"C9_PD4","-60,4750","-1,9500","360","-61,2500","-1,9500"
"C8_PD4","-72,2250","-2,7750","360","-73,0000","-2,7750"
"C7_PD4","-72,2250","-1,2250","360","-73,0000","-1,2250"
"C5_PD4","-60,4750","1,9500","360","-61,2500","1,9500"
"C4_PD4","-72,2250","2,7750","360","-73,0000","2,7750"
"C3_PD4","-64,1500","3,9600","180","-62,5500","3,9600"
"C2_PD4","-68,0000","3,4600","360","-68,7750","3,4600"
"C1_PD4","-72,2250","0,0000","360","-72,7250","0,0000"
"Screw16","81,5000","-47,5400","0","81,5000","-47,5400"
"Screw14","81,5000","61,4600","0","81,5000","61,4600"
"Screw1","-81,5000","61,4600","0","-81,5000","61,4600"
"Screw2","-81,5000","-47,5400","0","-81,5000","-47,5400"
"LPF3","5,5000","-19,7900","90","5,5000","-21,4150"
"HPF3","-3,5750","-19,7900","90","-3,5750","-21,4150"
"HPF1","-70,6000","-22,7900","90","-70,6000","-24,4150"
"LPF1","-75,5200","-22,7900","90","-75,5200","-24,4150"
"Splt4","67,0000","-30,0150","360","64,4600","-32,6950"
"Splt2","-22,0000","-30,0150","360","-24,5400","-32,6950"
"SMA6","44,5000","-51,2650","180","44,5000","-51,2650"
"SMA5","67,0000","-51,2650","180","67,0000","-51,2650"
"SMA3","-44,5000","-51,2650","180","-44,5000","-51,2650"
"SMA2","-22,0000","-51,2650","180","-22,0000","-51,2650"
"SMA1","-67,0000","-51,2650","180","-67,0000","-51,2650"
"R69","59,8927","-39,4850","270","59,8927","-38,9850"
"PS704","-51,1250","-24,4300","270","-55,8250","-16,8100"
"L1","72,0000","52,5000","360","70,2500","54,2500"
"Cpl2","64,4600","-41,0000","90","67,0000","-43,5400"
"Att15","52,0875","-30,0150","180","52,8495","-26,3320"
